"name.firstName","name.lastName","name.jobArea","phone.phoneNumber","date.weekday","internet.email","random.number","random.uuid","random.word"
"Lavada","Reinger","Group","(211) 490-2725","Tuesday","Karley40@yahoo.com","546","842a7801-2c8b-4eac-841f-c4493feaa754","visualize"
"Raegan","Reichel","Creative","986-720-8929 x450","Sunday","Aimee81@hotmail.com","76219","1fcea15b-01cf-4a82-b1e4-c1eba9365ac6","deposit"
"Gerardo","Skiles","Paradigm","546-599-4252","Thursday","Yvonne.Kilback@hotmail.com","46304","429b3dbe-cc24-41da-82e9-9e46037e3258","Creative"
"Micaela","Von","Branding","(218) 511-5509","Tuesday","Deangelo.Bogisich@hotmail.com","55446","a2c8960a-0658-4c7b-8a93-6ae45064bf3c","Berkshire"
"Edna","Daugherty","Paradigm","1-284-876-8675 x756","Friday","Golda.Tillman82@gmail.com","21661","e649ec5b-3f09-464d-9620-c500dd378c64","strategize"
"Nakia","Harvey","Creative","367-911-1913","Tuesday","Newell_Kessler@yahoo.com","68598","1853213c-da4b-4cbc-8b45-ceeb6fdefd17","Awesome"
"Stuart","West","Web","790-658-4129","Wednesday","Blaise_Ondricka69@hotmail.com","21986","ee751eb1-c9b3-4679-ac85-d930e625a210","expedite"
"Madelynn","Schuster","Branding","1-628-755-5248 x8914","Monday","Devyn62@hotmail.com","43515","0ef303c6-89c1-425b-b1c0-1cc36a004697","ROI"
"Kennedi","Marks","Group","655.677.7891","Saturday","Stanton66@hotmail.com","13655","61133bc4-65db-477f-9710-a42ae5378e99","and"
"Ole","Turner","Factors","977.642.5918 x98292","Tuesday","Friedrich_Huel22@hotmail.com","89769","02d1b46a-4b39-4566-8c62-ce0a2995eb1f","tertiary"
