name,dob,amt1,amt2
"Mrs. Pam Cordova","2003-05-15",19408,2120
"Larry Foster","1937-06-08",85612,8351
"Nancy Chung","1915-07-20",18120,3658
"Jeffrey Shields","1943-12-30",93725,3520
"Kimberly Lawson","1970-08-30",40014,7528
"Joseph Simmons","1956-01-21",86296,5866
"Shane Bradley","1905-12-12",19681,4316
"Brittany Dyer","1954-10-04",95849,422
"Kelsey Haas","1916-04-26",11745,8665
"Michael Joseph","1933-11-23",94388,270
"Michael Acosta","1939-08-17",20275,7203
"Eric Bauer","1953-08-06",71130,1827
"Colton Perry","2001-02-12",83618,9166
"Jose Murphy","1921-10-07",83346,5896
"Tyler Wong","1946-11-18",41751,4631
"Dustin Myers","2016-12-13",28412,9953
"Rachel Murray","1966-03-04",77943,6110
"Eric Strickland","2014-08-11",19031,7589
"Luis Brooks","2014-10-17",26663,5395
"Jessica Butler","1937-12-20",92710,8413
"Kayla Brown","1923-10-01",69877,9252
"Kayla Mason","1960-10-01",47563,1227
"Keith Meyer","1940-10-28",42830,9529
"Nicole Harris","1918-05-31",8610,9393
"Mrs. Laura Miller","2019-05-24",89410,8662
"Heather Green","1933-05-11",41457,9699
"Gary Dominguez","1924-06-04",24665,4005
"Michael Neal","1933-09-07",854,4554
"Isabella Lopez","1971-07-12",88637,5200
"Michael Sparks","1962-04-30",18520,7648
"Alexander Allen","1930-03-08",10481,1988
"Devin Barnes","1980-08-08",24819,8097
"Paul Mclean","1920-09-03",10377,5514
"Ashley Morse","1939-06-11",77067,111
"Ryan Gonzalez","1920-10-12",15515,6620
"Daniel Lopez","1965-09-27",80953,3433
"Charles Anderson","2019-12-20",28474,5961
"John Walls","1955-05-21",15239,602
"Marco Allison","1972-02-26",9192,5277
"Tamara Dudley","2003-09-27",44916,8932
"James Figueroa","1995-07-26",78921,3187
"Janet Parker","1914-03-21",43358,6955
"Jerry Cunningham","1995-02-16",1958,3066
"Timothy Burton","1935-02-14",76323,5114
"Kathryn Stevens","1910-12-04",74453,5644
"Lisa Trujillo","1929-02-15",90372,3368
"William Allen","1988-12-19",35430,1707
"Nathan Price","1969-11-12",72358,3687
"Selena Watkins","1970-04-08",61060,1224
"Laura Cantu","1926-03-27",50256,2112
"Susan Kelly","1986-12-13",37494,9046
"Joseph Wagner","1956-05-27",82198,7711
"Jeremy Barrett","1948-11-29",10972,6177
"Adam Stevens","2004-11-28",48908,800
"Elizabeth Wilson","1933-11-28",24284,8195
"Marco Smith","1948-11-25",76578,2134
"Lynn Anderson","1978-05-25",41790,1339
"Mrs. Tara Thomas MD","1937-12-30",78047,6658
"Patricia Adams","1978-03-24",68160,8849
"William Gilbert","1907-02-01",22085,4051
"Stanley Baker","1983-07-27",17978,4354
"Sabrina Miller","1994-09-29",39225,6262
"Emily Chase","1978-09-08",78332,3275
"Tammy Davis","1960-06-13",55955,4874
"Kimberly King","2014-12-07",93068,628
"Jennifer Rivera","1969-12-08",90637,621
"Kelly Johnson","1961-11-20",33591,9493
"David Miller","2002-04-13",7562,5866
"Ann Atkinson","1928-03-14",97858,8130
"William Smith","2014-07-30",68132,4128
"Jesse Garza","1938-09-20",16486,9833
"Sheryl Adams","1911-05-02",76842,8970
"Elizabeth Medina","2009-01-22",23218,481
"Tonya Decker","1941-03-21",93242,230
"Richard Mcgee","1988-04-25",61080,5427
"Kenneth Ramirez","1904-07-28",93052,6981
"Bruce Young","1954-07-07",54864,6519
"Daniel Webb","1933-09-14",14347,6864
"Laura Allen","1983-03-14",84033,8320
"Kristine Harper","1916-12-01",8408,6597
"Kimberly Hancock","1987-07-09",59580,2246
"Rodney Vazquez","1925-04-26",26636,5848
"Rodney Patterson","1985-12-27",8001,7099
"Pamela Wolfe","1972-11-19",91281,7787
"Colin Olson","1957-01-14",66547,7623
"Aaron Melton","1928-10-12",59982,8312
"Shannon Wilson","1980-08-12",47364,4242
"Robert Hurley","1981-03-30",97599,5046
"Patricia Navarro","1923-11-28",39627,6534
"Vincent Larson","1949-06-18",37381,382
"John Taylor","1909-09-12",4937,7317
"Russell Jenkins","1961-06-25",34934,4925
"Levi Allen","1958-11-30",8661,1399
"David Mitchell","1981-05-31",78896,1434
"Martha Shepherd","1917-12-23",30901,9101
"Nancy Ruiz","2008-03-17",60281,1023
"Adam Hess","1987-04-19",82882,2891
"Gregory Freeman","1907-02-01",53289,5630
"John Gill","1951-04-05",40683,3883
"Jason Clark","1921-08-14",15491,7537
"Sarah Galvan","1956-06-28",36671,3301
"Charles Waters","1939-10-26",90684,3951
"Jose Rodriguez","2006-08-06",8251,7873
"Toni Moore","1957-08-26",59268,3735
"Richard Watson","1907-07-25",53729,6609
"David Hamilton","1961-05-30",24861,917
"Patrick Davidson","1981-10-10",9768,2528
"Lori Nguyen","1995-08-01",53503,3337
"Monica Phillips","2016-04-01",13755,6892
"Nancy Jordan","1984-02-18",5891,4093
"Ellen Graves","1965-11-01",78538,5398
"Anthony Fernandez","1992-08-27",35871,9629
"Patrick Melton","2005-05-03",18591,2339
"Kathleen Stephenson","1955-12-21",87722,2415
"Roy Curtis","1943-01-31",78700,8837
"Richard Smith","1914-11-22",62796,1153
"Courtney Quinn","1947-09-26",76210,479
"Michael Howell","1915-03-03",66997,6850
"Lydia Hoffman","1925-09-16",15055,5071
"Kelly Ortiz","1911-08-10",2442,4516
"Allison Good","1942-04-26",13952,4025
"Mary Lane","1936-09-01",69735,2768
"Karen Morales","1957-09-17",84553,3145
"Mr. Samuel Walker PhD","1940-02-20",4464,432
"Brooke Farmer","1909-03-02",79795,3016
"Rebecca Dean","1985-08-15",93534,2850
"Rodney Williams","1969-10-30",65150,7292
"Rhonda Frey","1983-08-26",72152,1241
"Connie Sutton","1941-07-27",51635,8768
"Peggy Rowland","1910-01-07",14090,4019
"Julie King","1971-07-15",56092,9823
"James Davis","1993-01-20",20772,9760
"Lance Brady","1956-11-07",63635,2683
"Mike Harris","1988-12-29",96243,297
"Jack Alexander","2003-04-08",58945,3857
"Melissa Frost","1999-04-04",36622,5614
"Sean Hines","1976-01-31",63593,5504
"Chelsea Hudson","1985-12-02",53011,2339
"Aaron Lee","1983-04-26",13865,2155
"Melissa Cox","1933-04-21",82378,80
"Mark Parrish","1923-03-19",5319,6871
"Natalie Russo","2020-03-15",2346,2523
"Eric Romero","1907-11-11",72530,6214
"Sylvia Miller","1910-05-30",80111,1342
"Suzanne Moore","1926-04-22",90345,6694
"Wayne Cunningham","1987-02-14",63862,7399
"Sarah Harding","1951-04-02",23240,6757
"John Jones","1913-08-30",81524,8139
"Brendan Nelson","1922-04-21",95711,6453
